"id","district_id","city"
649,255,Bari - Ramachandrapur
650,377,Baririjo Circle
651,378,Bari Sadri
652,333,Bariyatu
653,351,Barjora
654,374,Barkagaon
655,374,Barkatha
656,344,Barkhetri
657,379,Barkot
658,380,Barmer
659,380,Barmer Gramin
660,284,Barnagar (Pt)
661,336,Barnala
662,381,Barnala
663,382,Barnigad
664,79,Baroh
665,59,Barpali
666,284,Barpeta
667,138,Barrackpur - I
668,138,Barrackpur - II
669,258,Barsahi
670,383,Barsar
671,70,Barshi
672,74,Barshitakli
673,137,Barsoi
674,262,BARSUR
675,384,Baruipur
676,241,Barun
677,239,Baruraj (Motipur)
678,333,Barwadih
679,385,Barwaha
680,386,Barwala
681,17,Barwala
682,387,Barwala ST
683,179,Barwani
684,388,Basantgarh
685,384,Basanti
686,389,Basantpur
687,170,Basantpur
688,390,Basar
689,391,Basar ADC
690,238,Basavakalyan
691,101,Basavana Bagevadi
692,375,Baseri
693,392,Bashant Rai*
694,359,Basheerabad
695,87,Basia
696,138,Basirhat - I
697,138,Basirhat - II
698,279,Baska
699,280,Basna
700,393,Basoda
701,348,Basohli
702,172,Basopatti
703,17,Bass
704,378,Bassi
705,3,Bassi
706,148,Bassi Pathana
707,316,Basta
708,311,Bastanar
709,311,Bastar
710,394,Basti
711,39,Basudebpur
712,395,Basukedar
713,342,Baswa
714,396,Batabari
715,397,Batala
716,36,Bathalapalle
717,398,Bathinda
718,305,Bathnaha
719,399,Batiyagarh
720,350,Batote
721,135,Batouli
722,400,Baudh Sadar
723,400,Baunsuni
724,117,Bausi
725,213,Bavla
726,401,Bawal
727,294,Bawani Khera
728,402,Bayad
729,403,Bayana
730,380,Baytoo
731,404,Bayyaram
732,30,BAZARHATNOOR
733,62,Beawar
734,405,Becharaji
735,133,Beed
736,274,Beerpur
737,406,Beerpur
738,407,Beerwah
739,267,Begamganj
740,378,Begun
741,55,Begunia
742,254,Begusarai
743,408,Behat
744,43,Behea
745,342,Behrawanda
746,109,Behror
747,72,Bejjanki
748,216,Bejjur
749,342,Bejupada
